,city,company_full_names,company_name,create_time,positionId,positionName,salary,salary_max,salary_min,comp_id,city_id,pos_class
1085,北京,北京云英传奇技术有限公司,CloudIn,2018-04-11,4403912,Python工程师,17k-34k,34000,17000,968,20,普通
1086,北京,易思互动（北京）科技有限公司,易美健,2018-04-08,4343397,Python数据工程师,15k-30k,30000,15000,768,20,普通
1087,上海,拉扎斯网络科技（上海）有限公司,饿了么,2018-05-04,1534647,Python开发工程师,13k-26k,26000,13000,684,22,普通
1088,成都,Client Solutions Pty Ltd,CSPL,2018-05-04,4519270,高级Python工程师,10k-20k,20000,10000,19,35,高级
1089,上海,上海触乐信息科技有限公司,触宝,2018-05-04,4164099,后端开发工程师（Python）,25k-45k,45000,25000,839,22,普通
1090,深圳,云数信息科技（深圳）有限公司,云数科技,2018-04-20,2731665,Python 开发工程师,9k-18k,18000,9000,651,19,普通
1091,上海,互道信息技术（上海）有限公司,NextTao 互道信息,2018-04-16,2517136,Python开发,8k-15k,15000,8000,371,22,普通
1092,北京,北京数智源科技股份有限公司,数智源,2018-04-13,4047586,Python开发工程师,13k-26k,26000,13000,260,20,普通
1093,成都,北京竞技智娱科技有限公司,扑克传奇,2018-05-04,4520366,Python工程师,6k-10k,10000,6000,55,35,普通
1094,深圳,上海贝笃网络科技有限公司,贝笃科技,2018-05-04,4343750,Python开发,3k-5k,5000,3000,472,19,普通
1095,武汉,武汉邻盛智能设备有限公司,武汉邻盛智能设备有限公司,2018-05-02,4391485,Python软件工程师,5k-10k,10000,5000,614,8,普通
1096,广州,广东科特森软件股份有限公司,五二科技,2018-04-25,3599825,Python软件工程师,6k-12k,12000,6000,490,12,普通
1097,上海,上海医时信息科技有限公司,上海医时,2018-04-16,1809281,Python高级工程师,15k-30k,30000,15000,527,22,高级
1098,郑州,北京传智播客教育科技有限公司,传智播客,2018-04-11,4343445,Python导师,15k-30k,30000,15000,644,17,普通
1099,深圳,深圳市斯凯荣科技有限公司,skyroam,2018-05-03,4515678,Python开发工程师,10k-15k,15000,10000,504,19,普通
1100,北京,国信优易数据有限公司,国信优易,2018-05-03,4145976,Python开发工程师,10k-15k,15000,10000,641,20,普通
1101,广州,广州市电牛医药科技有限公司,电牛医药,2018-04-29,4380912,Python开发工程师,8k-10k,10000,8000,440,12,普通
1102,南宁,北京优趣天下信息技术有限公司,优趣工作室,2018-04-14,904954,Python 开发实习生,2k-3k,3000,2000,178,2,初级
1103,上海,上海海申产权经纪有限公司,上海聪牛金融信息服务有限公司,2018-05-03,3688416,Python开发工程师,13k-25k,25000,13000,737,22,普通
1104,北京,领途教育咨询（北京）有限公司,领途教育,2018-05-02,4229676,Python开发工程师,10k-20k,20000,10000,742,20,普通
1105,北京,紫梧桐（北京）资产管理有限公司,蛋壳公寓,2018-05-02,3236037,python工程师,15k-30k,30000,15000,1069,20,普通
1106,广州,广州迪奥信息科技有限公司,迪奥科技,2018-05-02,131503,Python工程师,8k-12k,12000,8000,672,12,普通
1107,苏州,苏州光格设备有限公司,苏州光格,2018-05-02,3782813,Python开发工程师,9k-15k,15000,9000,460,14,普通
1108,深圳,深圳市迈卡网络科技有限公司,迈卡网络,2018-04-23,4210124,Python开发工程师,8k-12k,12000,8000,252,19,普通
1109,深圳,深圳奥比中光科技有限公司,奥比中光,2018-04-15,4423182,Python开发工程师,15k-30k,30000,15000,923,19,普通
1110,成都,成都钱方科技有限公司,成都钱方,2018-05-02,748187,Python开发工程师,10k-18k,18000,10000,111,35,普通
1111,北京,北京感易智能科技有限公司,感易智能,2018-05-01,4462636,Python 研发工程师,10k-20k,20000,10000,546,20,普通
1112,沈阳,沈阳智谷大数据发展有限公司,智谷大数据,2018-04-25,4284052,Python讲师,8k-10k,10000,8000,779,34,普通
1113,深圳,上海速强信息技术有限公司,速强信息,2018-04-23,4465930,python开发,10K-15K,15000,10000,1021,19,普通
1114,天津,上海敬庸信息科技有限公司,上海敬庸,2018-04-17,4434048,Python开发工程师,10k-20k,20000,10000,823,26,普通
1115,深圳,深圳市点趣网络技术有限公司,点趣网络,2018-05-02,2885070,Python助理开发工程师,5k-8k,8000,5000,616,19,初级
1116,广州,广州百伦贸易有限公司,百伦,2018-04-09,4304912,Python 高级开发工程师,12k-15k,15000,12000,123,12,高级
1117,北京,北京小白店科技有限公司,北京小白店科技有限公司,2018-04-07,4020473,资深 python 工程师,13K-26K,26000,13000,376,20,高级
1118,北京,中国航天系统科学与工程研究院,航天十二院,2018-05-02,4226536,Python开发工程师,15K-25K,25000,15000,534,20,普通
1119,武汉,北京希嘉创智科技有限公司,希嘉创智,2018-04-27,4326316,后端开发工程师（python）,8k-16k,16000,8000,402,8,普通
1120,深圳,深圳市阿西莫夫人工智能有限公司,阿西莫夫人工智能,2018-04-25,4483750,python开发工程师,10k-20k,20000,10000,836,19,普通
1121,北京,北京原子钟信息科技有限公司,原子钟,2018-04-10,4284585,Python开发工程师,15k-25k,25000,15000,826,20,普通
1122,成都,图丰信息（成都）有限责任公司,图丰信息-成都,2018-05-03,205668,Python后台开发,8k-15k,15000,8000,1022,35,普通
1123,武汉,武汉掌中宝网络科技有限公司,武汉掌中宝,2018-04-26,3754701,python服务端,10k-20k,20000,10000,316,8,普通
1124,重庆,重庆格泰尚恒网络科技有限公司,格泰尚恒,2018-04-23,3903075,Python开发工程师,10k-18k,18000,10000,696,9,普通
1125,成都,图丰信息（成都）有限责任公司,图丰信息-成都,2018-05-03,205668,Python后台开发,8k-15k,15000,8000,1022,35,普通
1126,武汉,武汉掌中宝网络科技有限公司,武汉掌中宝,2018-04-26,3754701,python服务端,10k-20k,20000,10000,316,8,普通
1127,重庆,重庆格泰尚恒网络科技有限公司,格泰尚恒,2018-04-23,3903075,Python开发工程师,10k-18k,18000,10000,696,9,普通
1128,武汉,武汉飞脉科技有限责任公司,飞脉科技,2018-05-03,3337596,python,10k-20k,20000,10000,637,8,普通
1129,杭州,浙江同花顺基金销售有限公司,同花顺,2018-05-02,3548108,Python开发,15k-30k,30000,15000,412,21,普通
1130,成都,成都聚思力信息技术有限公司,成都聚思力信息技术有限公司,2018-04-27,4473109,python开发工程师,9k-14k,14000,9000,242,35,普通
1131,北京,在线途游（北京）科技有限公司,途游,2018-04-26,3887081,python开发工程师,15k-25k,25000,15000,26,20,普通
1132,广州,广州雪龙科技有限公司,广州雪龙,2018-04-24,4476215,python后端,10K-18K,18000,10000,356,12,普通
1133,珠海,珠海海富思科技有限公司,海富思科技,2018-04-10,3958275,Python 后端开发工程师,8k-15k,15000,8000,71,25,普通
1134,广州,长沙恭齐网络科技有限公司,恭齐,2018/05/07,4357144,Python工程师,4k-6k,6000,4000,664,12,普通
1135,上海,广州森迪信息科技有限公司,广州森迪信息科技有限公司,2018/05/07,4231703,Python开发工程师,3k-5k,5000,3000,976,22,普通
1136,上海,上海海同优才教育培训有限责任公司,职坐标,2018-05-04,4521019,中/高级 Python 人工智能研发工程师,15k-30k,30000,15000,1027,22,高级
1137,深圳,深圳市博众信息技术有限公司,博众信息,2018-05-02,4303498,Python 资深工程师,15k-30k,30000,15000,305,19,高级
1138,武汉,武汉三和川科技有限公司,三川,2018-04-21,2491373,Python研发工程师,10k-20k,20000,10000,898,8,普通
